
# WJets
# GenXsecAnalyzer
DYJetsToLL_M-50_HT-600to800_TuneCP5_PSweights_13TeV-madgraphMLM-pythia8                             1.743*1.137    
DYJetsToLL_M-50_HT-800to1200_TuneCP5_PSweights_13TeV-madgraphMLM-pythia8                            0.8052*1.137   
DYJetsToLL_M-50_HT-1200to2500_TuneCP5_PSweights_13TeV-madgraphMLM-pythia8                           0.1933*1.137     
DYJetsToLL_M-50_HT-2500toInf_TuneCP5_PSweights_13TeV-madgraphMLM-pythia8                            0.003468*1.137  

# WjetsToLNu
# W+jets, LO (!! NNLO/LO = 20508.9*3/52740.0 = 1.167 applied !!)
WJetsToLNu_HT-200To400_TuneCP5_13TeV-madgraphMLM-pythia8                                            407.9*1.167  
WJetsToLNu_HT-400To600_TuneCP5_13TeV-madgraphMLM-pythia8                                            57.48*1.167
WJetsToLNu_HT-600To800_TuneCP5_13TeV-madgraphMLM-pythia8                                            12.87*1.167 
WJetsToLNu_HT-800To1200_TuneCP5_13TeV-madgraphMLM-pythia8                                           5.366*1.167
WJetsToLNu_HT-1200To2500_TuneCP5_13TeV-madgraphMLM-pythia8                                          1.074*1.167
WJetsToLNu_HT-2500ToInf_TuneCP5_13TeV-madgraphMLM-pythia8                                           0.008001*1.167

WJetsToLNu_HT-100To200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                                       1345*1.459  
WJetsToLNu_HT-200To400_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                                       359.7*1.434
WJetsToLNu_HT-400To600_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                                       48.91*1.532  
WJetsToLNu_HT-600To800_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                                       12.05*1.004
WJetsToLNu_HT-800To1200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                                      5.501*1.004  
WJetsToLNu_HT-1200To2500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                                     1.329*1.004   
WJetsToLNu_HT-2500ToInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                                      0.03216*1.004  
